MM-DD,Discharge_m3s
12-01,2.5
12-02,2.5
12-03,2.5
12-04,2.5
12-05,2.5
12-06,2.5
12-07,2.5
12-08,2.5
12-09,2.5
12-10,2.5
12-11,2.5
12-12,2.5
12-13,2.5
12-14,2.5
12-15,2.5
12-16,2.5
12-17,2.5
12-18,2.5
12-19,2.5
12-20,2.5
12-21,2.5
12-22,2.5
12-23,2.5
12-24,2.5
12-25,2.5
12-26,2.5
12-27,2.5
12-28,2.5
12-29,2.142857142857143
12-30,1.7857142857142858
12-31,1.4285714285714286
